# Task: bending2,,,,,,,
# Frequency (Hz): 20,,,,,,,
# Clock (millisecond): 250,,,,,,,
# Duration (seconds): 120,,,,,,,
#columns:time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss13,var_rss13,Activity
48500,30,0,5.5,0.5,16,1,Bending2
48750,30,0,5.5,0.5,16.33,0.94,Bending2
49000,30,0,6,0,15.67,0.47,Bending2
49250,30,0,5.33,0.47,15.5,0.5,Bending2
49500,30,0,5.33,0.47,15.5,0.5,Bending2
49750,30,0,5.67,0.94,16,1,Bending2
50000,30,0,5.5,0.87,16,1,Bending2
50250,30,0,7,0.82,16.5,0.5,Bending2
50500,30,0,7,0,15.67,0.47,Bending2
50750,30,0,6.5,0.5,16,1,Bending2
51000,30,0,6.25,0.43,15.75,0.83,Bending2
51250,30,0,3,0,15.5,1.12,Bending2
51500,30,0,5.67,0.47,16.33,1.25,Bending2
51750,30,0,8,0.82,17.33,1.7,Bending2
52000,30,0,6.5,2.06,17.75,0.83,Bending2
52250,30,0,5.5,1.5,18.33,0.47,Bending2
52500,30,0,4.33,1.89,18.25,0.43,Bending2
52750,30.5,0.5,4.5,1.5,17.75,0.43,Bending2
53000,30,0,3.5,1.12,19,0.82,Bending2
53250,29.5,0.5,4.25,1.48,18,0,Bending2
53500,30,0,5,0,18,0,Bending2
53750,30,0,3.25,0.43,18,0,Bending2
54000,30,0,3.67,0.47,17.5,0.5,Bending2
54250,30,0,4,0,17,0.82,Bending2
54500,30,0,4.5,0.5,17.67,0.47,Bending2
54750,30,0,4,0,16.5,0.5,Bending2
55000,30,0,6,0,16.25,0.83,Bending2
55250,29.67,0.47,6,0,16.33,0.94,Bending2
55500,29.75,0.43,4.5,1.12,16.75,0.83,Bending2
55750,29.75,0.43,2.25,0.43,17.25,0.83,Bending2
56000,30,0,5,1.22,16.67,0.47,Bending2
56250,29.75,0.43,5.75,0.43,16,1,Bending2
56500,29.75,0.43,5.75,0.43,15.75,0.83,Bending2
56750,30,0,6,0,16,0.71,Bending2
57000,29.75,0.43,5.5,0.5,16,1,Bending2
57250,29.5,0.5,5.25,0.43,16,1,Bending2
57500,29.25,0.43,4.25,0.43,16,1,Bending2
57750,29.25,0.43,5.5,0.5,15.5,0.5,Bending2
58000,29.5,0.5,6,0.71,15.5,0.5,Bending2
58250,29.5,0.5,6.33,0.47,15.33,0.47,Bending2
58500,29.5,0.5,6,0,15.5,0.5,Bending2
58750,29.67,0.47,6.75,0.43,16,0.82,Bending2
59000,29.25,0.43,6.5,0.5,16.5,1.12,Bending2
59250,29,0,6.25,0.83,16.5,0.5,Bending2
59500,29,0,6,0,16.25,0.83,Bending2
59750,29.25,0.43,5.5,0.5,16.5,0.5,Bending2
60000,29.25,0.43,5,0,17,1,Bending2
60250,29.5,0.5,5,0.71,16.5,0.5,Bending2
60500,29.5,0.5,6,0,16.5,0.5,Bending2
60750,29,0,6.25,0.43,16,1,Bending2
61000,29.25,0.43,6.25,0.43,15.75,0.83,Bending2
61250,29,0,6,0,15.5,0.5,Bending2
61500,29,0,6,0,15.75,0.83,Bending2
61750,29,0,6,0,16.33,1.25,Bending2
62000,29.25,0.43,6,0,16.33,0.47,Bending2
62250,29,0,5.5,0.5,16.5,0.5,Bending2
62500,29,0,5.75,0.43,16.75,0.83,Bending2
62750,29,0,5.25,0.43,17.33,0.94,Bending2
63000,29,0,5.5,0.5,17.33,0.94,Bending2
63250,29,0,6,0,16.5,1.12,Bending2
63500,29,0,5,0,16.25,0.83,Bending2
63750,29.25,0.43,5,0.71,16.5,0.5,Bending2
64000,29,0,5,0.71,17,0.71,Bending2
64250,29.25,0.43,6,0,16.5,0.5,Bending2
64500,29,0,6.25,0.43,16.25,0.83,Bending2
64750,29,0,6.25,0.43,16.25,0.83,Bending2
65000,29,0,4.75,0.43,16.5,1.12,Bending2
65250,28.75,0.43,5.25,0.43,17,1,Bending2
65500,28.67,0.47,4.67,0.47,16.5,0.5,Bending2
65750,29,0,4.75,0.43,17.33,0.94,Bending2
66000,29,0,5,0,17.5,0.5,Bending2
66250,29,0,5.5,0.5,16.5,0.5,Bending2
66500,29,0,5,0,16,1,Bending2
66750,29,0,5.75,0.43,15.67,0.47,Bending2
67000,29,0,6.75,0.43,15.5,0.5,Bending2
67250,29,0,7,0,15.67,0.94,Bending2
67500,28.75,0.43,6,0,16.5,1.12,Bending2
67750,28.75,0.43,4.75,0.43,17,1,Bending2
68000,28.75,0.43,4.25,0.43,17,1,Bending2
68250,29,0,4.5,0.5,17,1,Bending2
68500,29,0,5,0,18,0,Bending2
68750,28.67,0.47,4,0,16.67,0.94,Bending2
69000,28.5,0.5,4.75,0.43,16.25,0.83,Bending2
69250,28.75,0.43,5,0,16.5,0.5,Bending2
69500,28.67,0.47,5,0,17.33,0.94,Bending2
69750,28.67,0.47,5,0,17,0.71,Bending2
70000,29,0,5,0,17,1,Bending2
70250,29,0,4.25,0.43,17,1,Bending2
70500,29,0,4,0,17,1,Bending2
70750,29,0,5,0,17.33,0.94,Bending2
71000,28.5,0.5,4.75,0.43,17.5,0.5,Bending2
71250,29,0,4.67,0.47,17.5,0.5,Bending2
71500,28.6,0.49,4.8,0.75,17.5,0.5,Bending2
71750,28.5,0.5,5,0,17.5,0.5,Bending2
72000,28.5,0.5,5,0,16.75,0.83,Bending2
72250,28.75,0.43,8.67,0.47,15.67,1.25,Bending2
72500,29,0,7,0.82,18.5,1.12,Bending2
72750,30,0,11.5,1.5,17.5,1.5,Bending2
73000,30,0,12.75,0.43,16.67,0.47,Bending2
73250,30,0,12,0,17.75,1.09,Bending2
73500,30,0,11.5,0.5,18.75,0.83,Bending2
73750,30,0,11,0,19.5,1.12,Bending2
74000,30,0,9.75,0.83,19.5,0.5,Bending2
74250,30,0,9,0,18.33,0.47,Bending2
74500,30,0,9,0,18,0,Bending2
74750,30,0,8.5,0.5,18,0,Bending2
75000,30,0,7.25,0.43,18,0,Bending2
75250,30,0,7.25,0.43,18.5,0.5,Bending2
75500,30,0,9.5,0.5,18.67,0.47,Bending2
75750,30,0,11,0,18.5,0.5,Bending2
76000,30,0,11,0,18.5,0.5,Bending2
76250,30,0,10.75,0.43,18.5,0.5,Bending2
76500,30,0,10.75,0.43,18.5,0.5,Bending2
76750,30,0,10.75,0.43,18.75,0.83,Bending2
77000,30,0,10.75,0.43,18.67,0.47,Bending2
77250,30,0,10.5,0.5,18.67,0.47,Bending2
77500,30,0,10.33,0.47,18.33,0.47,Bending2
77750,30,0,10,0,18.67,0.47,Bending2
78000,30,0,10,0,18.33,0.47,Bending2
78250,30,0,9.5,0.5,18,0,Bending2
78500,30,0,9,0,18.5,0.5,Bending2
78750,30,0,8,0,18.5,0.5,Bending2
79000,30,0,8.25,0.43,18.5,0.5,Bending2
79250,30,0,8,0,18.67,0.47,Bending2
79500,30,0,8,0,19,1,Bending2
79750,30,0,8,0,19,1,Bending2
80000,30,0,6.5,0.5,19,1,Bending2
80250,30,0,7.25,0.43,19.67,0.47,Bending2
80500,30,0,7.5,0.5,19.25,1.3,Bending2
80750,30,0,7.33,0.47,20,0.82,Bending2
81000,30,0,9,0,20.33,1.3,Bending2
81250,30,0,7.5,1.66,19.25,0.83,Bending2
81500,30,0,4.75,0.43,19.67,0.47,Bending2
81750,29.75,0.43,7.75,1.3,19,1,Bending2
82000,30,0,9.5,0.5,18.67,0.47,Bending2
82250,30,0,11.6,0.49,18.75,0.83,Bending2
82500,30,0,12,0,18.67,0.47,Bending2
82750,29.75,0.43,12,0,18.25,0.43,Bending2
83000,29.5,0.5,12,0,18.25,0.43,Bending2
83250,29.5,0.5,12,0,18.25,0.43,Bending2
83500,29.75,0.43,12,0,18.5,0.5,Bending2
83750,29.75,0.43,12,0,18.25,0.43,Bending2
84000,29.75,0.43,12,0,18,0,Bending2
84250,29.5,0.5,12,0,18,0,Bending2
84500,29.5,0.5,12,0,18,0,Bending2
84750,29,0,12,0,18,0,Bending2
85000,29.33,0.47,12,0,18.33,0.47,Bending2
85250,29,0,12,0,18.33,0.47,Bending2
85500,29.33,0.47,12,0,18.67,0.47,Bending2
85750,29.33,0.47,12,0,18.5,0.5,Bending2
86000,29,0,12,0,18.5,0.5,Bending2
86250,29.25,0.43,12,0,18.5,0.5,Bending2
86500,29.33,0.47,12,0,19,0.82,Bending2
86750,29.25,0.43,12,0,18.33,0.47,Bending2
87000,29.5,0.5,12,0,18,0,Bending2
87250,29,0,12,0,18.33,0.47,Bending2
87500,29,0,12,0,18,0,Bending2
87750,30,0,12,0,19,0,Bending2
88000,29,0,12,0,18.5,0.5,Bending2
88250,29.33,0.47,12,0,18.67,0.47,Bending2
88500,29,0,12,0,18.5,0.5,Bending2
88750,28.33,0.47,12,0,19,0.82,Bending2
89000,28.33,0.47,11,1,18.5,0.5,Bending2
89250,28.25,0.43,7.5,0.5,18.25,0.43,Bending2
89500,28.25,0.43,4.25,2.28,18.25,0.43,Bending2
89750,29,0,11,1.22,17.5,0.5,Bending2
90000,29,0,12,0,15.75,0.43,Bending2
90250,29.67,0.47,12,0,16.67,1.25,Bending2
90500,29.5,0.5,12,0,16.67,0.94,Bending2
90750,29,0,12.33,0.47,17.5,0.5,Bending2
91000,29,0,12.75,0.43,17.75,0.43,Bending2
91250,29.5,0.5,12.75,0.43,18,0,Bending2
91500,29.5,0.5,12.75,0.43,17,1,Bending2
91750,29,0,12.25,0.43,17.33,0.94,Bending2
92000,29.25,0.43,12,0,17,0.71,Bending2
92250,29,0,12,0,17,0.82,Bending2
92500,29.25,0.43,12,0,16.25,0.43,Bending2
92750,29,0,11.67,0.47,16.67,1.25,Bending2
93000,28.5,0.5,12,0,17.67,0.47,Bending2
93250,29,0,12.5,0.5,18.33,0.47,Bending2
93500,29,0,11.33,0.47,18.75,0.83,Bending2
93750,29,0,12,0,19.33,0.94,Bending2
94000,29.33,0.47,12,0,18.75,0.83,Bending2
94250,29.33,0.47,12,0,19,0.82,Bending2
94500,29,0,12.33,0.47,18.67,0.94,Bending2
94750,29,0,12.75,0.43,19.33,0.94,Bending2
95000,29,0,13.5,0.5,19.25,0.83,Bending2
95250,29,0,13,0,19.25,0.83,Bending2
95500,29,0,13,0,19.25,0.83,Bending2
95750,28.5,0.5,13.5,0.5,19,1,Bending2
96000,29,0,13.67,0.47,19.33,0.94,Bending2
96250,28.67,0.47,12,0.71,18.33,0.47,Bending2
96500,28,0.71,8.75,0.43,18.75,1.48,Bending2
96750,28.5,0.5,9,0,19.25,0.83,Bending2
97000,29,0,9.5,0.5,18,0,Bending2
97250,28.5,0.5,8.5,0.5,18.25,0.43,Bending2
97500,29,0,9,0,18.33,0.47,Bending2
97750,29,0,9.5,0.5,19,0.71,Bending2
98000,29,0,9.75,0.43,19.25,0.83,Bending2
98250,28.67,0.47,10,0,19.67,0.47,Bending2
98500,28.5,0.5,10,0,19.75,0.83,Bending2
98750,29,0,10,0,20.33,0.94,Bending2
99000,28.67,0.47,10,0.71,19.67,0.47,Bending2
99250,29,0,10.33,0.47,19,1,Bending2
99500,29,0,9.67,0.47,19.5,0.5,Bending2
99750,29,0,10.25,0.43,19,0.82,Bending2
100000,28.75,0.43,9.75,0.43,18.75,0.83,Bending2
100250,28.5,0.5,9.75,0.43,19.25,0.83,Bending2
100500,27.75,0.43,9.75,0.43,19.25,0.83,Bending2
100750,28,0,10,0,19.33,0.94,Bending2
101000,28,0.71,10.25,0.43,19,1,Bending2
101250,28,0,11,0,19.25,0.83,Bending2
101500,28,0,11,0,18.67,0.94,Bending2
101750,28,0,11,0,19.25,0.83,Bending2
102000,28.33,0.47,11.25,0.43,20.33,0.94,Bending2
102250,28,0,12,0,19,0.71,Bending2
102500,28,0,10,1.63,18,0.71,Bending2
102750,28,0,7.25,1.09,19.5,1.12,Bending2
103000,28,0,8.75,0.43,21,0,Bending2
103250,28.25,0.43,9.25,0.43,20.25,0.83,Bending2
103500,28.67,0.47,10.67,0.47,20.25,0.83,Bending2
103750,29,0,12,0,20.67,0.47,Bending2
104000,29,0,12,0,20.67,0.47,Bending2
104250,28.75,0.43,11.5,0.5,19.75,0.83,Bending2
104500,28.5,0.5,11,0,18.75,0.83,Bending2
104750,28.75,0.43,11.25,0.43,18.5,0.5,Bending2
105000,28.25,0.43,11.67,0.47,18.67,0.94,Bending2
105250,28.5,0.5,12,0,19.25,0.83,Bending2
105500,28.33,0.47,12,0,20.67,0.47,Bending2
105750,28,0,12,0,20.25,0.83,Bending2
106000,27.5,0.5,12,0,20,0.82,Bending2
106250,28,0,12,0,21,0,Bending2
106500,28.5,0.5,12,0,20,1,Bending2
106750,28,0,12,0,19.33,0.94,Bending2
107000,27.5,0.5,11.75,0.43,19,0.71,Bending2
107250,28,0,11.33,0.47,18.75,0.83,Bending2
107500,28,0.71,10.75,0.43,19,1.22,Bending2
107750,27.5,0.87,11.25,0.83,20.5,0.87,Bending2
108000,29,0.71,12,0,18.25,0.43,Bending2
108250,30,0,12,0,18,0,Bending2
108500,29.67,0.47,10,1.22,17.67,0.47,Bending2
108750,29,0,10,0,18.33,1.25,Bending2
109000,29,0,9.75,0.83,19.25,0.83,Bending2
109250,28.75,0.43,11,1.22,20,1,Bending2
109500,28.25,0.43,10.25,1.3,18.25,1.09,Bending2
109750,29,0,12,0,17.33,0.94,Bending2
110000,29.75,0.43,11,1.22,17.75,1.09,Bending2
110250,30,0,9.33,0.47,18.75,0.83,Bending2
110500,30,0,6.25,0.43,20.5,0.5,Bending2
110750,30,0,8.25,0.83,19,1,Bending2
111000,30,0,9.75,1.3,20.25,0.83,Bending2
111250,29.75,0.43,9,0,19.67,0.94,Bending2
111500,30,0,8.75,0.43,20,0.71,Bending2
111750,29.33,0.47,9,1.58,20,0.82,Bending2
112000,29.25,0.43,10.75,0.43,18.75,0.83,Bending2
112250,29.25,0.43,11.5,0.5,18.5,0.5,Bending2
112500,29.33,0.47,9,0,18.5,0.5,Bending2
112750,29,0,10.25,0.43,18.25,0.43,Bending2
113000,28.5,0.5,10,0.71,18.5,0.5,Bending2
113250,28.5,0.5,9,0,18.5,0.5,Bending2
113500,28.75,0.43,9.25,0.43,18.5,0.5,Bending2
113750,28.75,0.43,8.25,0.83,17.75,0.43,Bending2
114000,29,0,9.5,0.87,17.5,0.87,Bending2
114250,28.5,0.5,9.33,0.94,16.33,0.47,Bending2
114500,28.5,0.5,11.75,0.43,20,0.71,Bending2
114750,28.25,0.43,10.5,0.5,20.5,0.5,Bending2
115000,28.5,0.5,9.25,0.43,20.25,0.83,Bending2
115250,28.33,0.47,11.75,0.43,20.33,0.94,Bending2
115500,28.67,0.47,10,0.82,20.25,0.83,Bending2
115750,28.67,0.47,9,0,21,0,Bending2
116000,28.5,0.5,8.75,0.83,21,0,Bending2
116250,29,0,7.5,0.5,20.5,0.5,Bending2
116500,29.25,0.43,6.75,0.43,20.5,0.5,Bending2
116750,29,0,7.67,0.47,20.75,0.43,Bending2
117000,28.25,0.43,9,0.71,20.75,0.43,Bending2
117250,29,0,11.25,0.43,21,0,Bending2
117500,29,0,12,0,20.75,0.43,Bending2
117750,29,0.71,11.25,0.43,21.25,0.43,Bending2
118000,29,0,10,0.82,21.33,0.47,Bending2
118250,28.67,0.47,11,1,19.33,1.25,Bending2
118500,28.5,0.5,2.33,1.25,16.6,1.2,Bending2
118750,28.67,0.47,4.67,1.25,17.33,0.47,Bending2
119000,27.5,0.5,5.5,2.5,17.25,1.3,Bending2
119250,28,0,6.67,0.94,17,1,Bending2
119500,28,0,5,0.82,17,0.71,Bending2
119750,28,0,0,0,17,1,Bending2
